Rank,Word,POS,Semantics,Special,Person?,Object?,Entity?,Concept?,Event?,Number?,Plants?,Animals?,Location?,Time?,Process?,Action?,Quality?,Quantity?,"Superlative[0,0.3,0.6,1]","Negative/Neutral/Positive[-1,0,1]",Question,1st Person,2nd Person,3rd Person,Possession,Number,Ordinal,"Past/Present/Future[-1,0,1]","Singular/Plural[-1,1]",Male/Female,Concrete/Abstract
371,man,n,"masculine, person",,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,-1
508,william,n,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,james,n,"name, person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,george,n,"name, person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,al,n,"name, person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,david,n,"name, person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,charles,n,"name, person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,thomas,n,"name, person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,paul,n,"name, person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,henry,n,"name, person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,michael,n,"name, person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,smith,n,"name, person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,no,a,negative,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
962,anti,d,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,late,j,negative,,0,0,,,,,0,0,0,1,0,0,1,0,0,-1,,,,,,,,,,0,0
611,low,j,negative,,0,0,,,,,0,0,0,0,0,0,1,0,0,-1,,,,,,,,,,0,0
86,part,n,noun,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
100,film,n,noun,,0,1,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
104,war,n,noun,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
105,south,n,noun,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
122,career,n,noun,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1
127,number,n,noun,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
131,group,n,noun,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
136,album,n,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,company,n,noun,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
142,government,n,noun,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
143,league,n,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,house,n,noun,,0,1,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
150,game,n,noun,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
152,west,n,noun,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
160,club,n,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,population,n,noun,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1
170,east,n,noun,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
191,system,n,noun,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
172,member,n,"noun,",,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
114,life,n,"noun, [-death]",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
115,north,n,"noun, [-south]",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
169,public,j,"noun, abstract",,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
128,music,n,"noun, abstract",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1
130,name,n,"noun, abstract",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
173,age,n,"noun, abstract",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
56,school,n,"noun, location",,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
71,world,n,"noun, location",,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
75,city,n,"noun, location",,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,-1
81,state,n,"noun, location",,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
84,university,n,"noun, location",,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,area,n,"noun, location",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
162,home,n,"noun, location",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
164,place,n,"noun, location",,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
166,college,n,"noun, location",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
186,district,n,"noun, location",,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,church,n,"noun, location",,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,-1
198,town,n,"noun, location",,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
203,station,n,"noun, location",,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,-1
171,september,n,"noun, month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,june,n,"noun, month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,january,n,"noun, month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,july,n,"noun, month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,october,n,"noun, month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,august,n,"noun, month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,april,n,"noun, month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,november,n,"noun, month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,december,n,"noun, month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,february,n,"noun, month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,may,v,"noun, month",1,0,0,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,0,0
167,march,v,"noun, month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,team,n,"noun, people",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
135,family,n,"noun, person",,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
121,people,n,"noun, person, plural",,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
180,county,n,"noun, place",,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,series,n,"noun, plural",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1
48,time,n,"noun, time",1,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
59,year,n,"noun, time",,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
83,season,n,"noun, time",,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
110,history,n,"noun, time",,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
149,day,n,"noun, time",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
175,line,n,noune,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
177,century,n,"nount, time",,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
32,one,m,number,1,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
41,two,m,number,1,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
64,three,m,number,1,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
124,four,m,number,,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
217,five,m,number,,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
307,six,m,number,,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
330,million,m,number,,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
539,seven,m,number,,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
599,eight,m,number,,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
639,ten,m,number,,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
923,nine,m,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,book,n,object,,0,1,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,-1
278,division,n,object,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,air,n,object,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,-1
292,water,n,object,,0,1,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
29,first,m,ordinal,1,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
87,second,m,ordinal,,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
236,third,m,ordinal,,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
255,last,m,ordinal,,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
645,fourth,m,ordinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,primary,m,ordinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,senior,j,ordinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,director,n,person,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
438,player,n,person,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
810,governor,n,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,christian,j,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,secretary,n,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,captain,n,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,president,n,person,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
882,self,n,"person, first person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,father,n,"person, masculine",,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0
363,king,n,"person, masculine",,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,son,n,"person, masculine",,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0
305,children,n,"person, plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,they,p,"person, third person, plural, pronoun",1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
39,she,p,"person, third person, singular, feminine, pronoun",1,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
725,robert,n,"personal, name",,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,free,j,positive,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
471,popular,j,positive,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
535,good,j,positive,,0,0,,,,,0,0,0,0,0,0,1,0,0.3,0,,,,,,,,,,0,0
696,big,j,positive,,0,0,,,,,0,0,0,0,0,0,1,0,0.3,0,,,,,,,,,,0,0
940,our,a,"possessive, first person, plural, person",,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
669,my,a,"possessive, first person, singular, person",,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
91,than,c,preposition,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
2,of,i,preposition,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
4,in,i,preposition,1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
9,for,i,preposition,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
10,on,i,preposition,1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
12,with,i,preposition,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
13,by,i,preposition,1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
16,at,i,preposition,1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
17,from,i,preposition,1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
33,after,i,preposition,1,0,0,,,,,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,0,0
51,into,i,preposition,1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
54,over,i,preposition,1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
66,between,i,preposition,1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
76,about,i,preposition,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
77,under,i,preposition,1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
99,through,i,preposition,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
109,against,i,preposition,1,0,0,,,,,0,0,0,0,0,0,0,0,0,-0.3,,,,,,,,,,0,0
178,like,i,preposition,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
188,around,i,preposition,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
210,along,i,preposition,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
57,up,r,preposition,1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
193,back,r,preposition,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
5,to,t,preposition,1,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
610,front,,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,prior,i,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,below,i,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,during,i,"preposition, time",1,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
101,before,i,"preposition, time, location",,0,0,,,,,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,0,0
45,other,j,pronoun,1,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
15,that,c,"pronoun, object",1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
24,this,d,"pronoun, object",1,0,1,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
23,which,d,"pronoun, question",1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
42,who,p,"pronoun, question",1,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
885,whom,n,"pronoun, question",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,he,p,"pronoun, third person, singular, masculine, person",1,1,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
19,it,p,"pronoun, third person, singular, person, object",1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
205,york,n,"proper noun, location",,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,john,n,"proper noun, person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,every,a,quantifier,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
46,all,d,quantifier,1,0,0,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,0,0
67,some,d,quantifier,1,0,0,,,,,0,0,0,0,0,0,0,1,0.2,0,,,,,,,,,,0,0
85,many,d,quantifier,,0,0,,,,,0,0,0,0,0,0,0,1,0.4,0,,,,,,,,,,0,0
129,several,d,quantifier,,0,0,,,,,0,0,0,0,0,0,0,1,0.2,0,,,,,,,,,,0,0
200,any,d,quantifier,,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
348,next,m,sequence,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
517,california,n,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,washington,n,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,texas,n,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,more,r,superlative [0.3],1,0,0,,,,,0,0,0,0,0,0,0,1,0.5,0,,,,,,,,,,0,0
197,best,j,"[good], superlative [1.0]",,0,0,,,,,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,0,0
62,most,r,"[more], superlative [1.0]",1,0,0,,,,,0,0,0,0,0,0,0,1,0.8,0,,,,,,,,,,0,0
924,date,n,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,later,r,"time, superlative [0.3]",1,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
8,is,v,verb,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,be,v,verb,1,0,0,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,0,0
43,have,v,verb,1,0,0,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,0,0
72,made,v,verb,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,can,v,verb,1,0,0,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,0,0
118,work,v,verb,,0,0,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,0,0
138,will,v,verb,,0,0,,,,,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,0,0
151,born,v,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,use,v,verb,,0,0,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,0,0
208,due,v,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,within,i,preposition,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
262,according,i,preposition,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
277,among,i,preposition,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
303,near,i,preposition,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
397,per,i,preposition,,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0
405,without,i,preposition,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
521,upon,i,preposition,,0,0,,,,,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,0,0
540,throughout,i,preposition,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
551,across,i,preposition,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
564,despite,i,preposition,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
666,above,i,preposition,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
736,behind,i,preposition,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
758,outside,i,preposition,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
226,major,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
227,single,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,-1,,,,,,,,,,0,0
228,left,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,-1,,,,,,,,,,0,0
237,old,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,-1,,,,,,,,,,0,0
241,large,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
242,main,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
250,small,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,-1,,,,,,,,,,0,0
294,great,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0.7,0,,,,,,,,,,0,0
302,different,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,-1,,,,,,,,,,0,0
318,white,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
327,central,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
350,military,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
354,political,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
364,various,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
368,black,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
409,young,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
424,short,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,-1,,,,,,,,,,0,0
430,social,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
441,full,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
463,important,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0.8,0,,,,,,,,,,0,0
470,special,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
473,red,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
478,similar,j,adjective,,1,1,,,,,1,1,0,0,0,0,1,0,0.5,0,,,,,,,,,,0,0
493,common,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
531,little,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,-1,,,,,,,,,,0,0
534,current,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
541,human,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
555,available,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
560,personal,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
624,private,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,-1,,,,,,,,,,0,0
631,middle,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
634,federal,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
654,able,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
686,green,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
728,medical,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
732,real,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
775,possible,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
787,natural,j,adjective,,0,1,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
790,economic,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
818,strong,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
823,foreign,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,-1,,,,,,,,,,0,0
824,significant,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0.7,0,,,,,,,,,,0,0
834,blue,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
840,traditional,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
865,wide,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
913,past,j,adjective,,0,0,,,,,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,0,0
951,financial,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
956,cultural,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
957,legal,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
965,better,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0.3,0,,,,,,,,,,0,0
977,religious,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
994,recent,j,adjective,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0
216,service,n,concept,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1
220,party,n,event,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
223,song,n,concept,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1
238,death,n,concept,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
253,order,n,concept,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
254,band,n,entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,football,n,concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,education,n,concept,,0,0,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,0,1
275,top,n,location,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0
279,development,n,process,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
284,army,n,entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,side,n,location,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
309,form,n,concept,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1
312,species,n,concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,center,n,location,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
316,way,n,location,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
319,court,n,location,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,-1
321,record,n,concept,,0,1,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
323,research,n,concept,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
324,community,n,concept,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
325,award,n,entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,production,n,process,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
340,title,n,entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,council,n,entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,role,n,concept,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
346,period,n,time,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0
349,london,n,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
