Rank,Word,POS,Person?,Object?,Plants?,Animals?,Location?,Time?,Process?,Action?,Quality?,"Superlative[0,0.3,0.6,1]","Negative/Neutral/Positive[-1,0,1]",Male/Female,Concrete/Abstract
498,thank,v,0,0,0,0,0,0,0,1,0,0,0,0,0
499,receive,v,0,0,0,0,0,0,0,1,0,0,0,0,0
500,value,n,0,0,0,0,0,0,0,0,0,0,0,0,1
501,international,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
502,building,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
503,action,n,0,0,0,0,0,0,0,0,0,0,0,0,1
504,full,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0
505,model,n,0,0,0,0,0,0,0,0,0,0,0,0,1
506,join,v,0,0,0,0,0,0,0,1,0,0,0,0,0
507,season,n,0,0,0,0,0,0,0,0,0,0,0,0,1
508,society,n,1,0,0,0,0,0,0,0,0,0,0,0,1
509,because,i,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
510,tax,n,0,0,0,0,0,0,0,0,0,0,0,0,1
511,director,n,1,0,0,0,0,0,0,0,0,0,0,0,-1
512,early,r,0,0,0,0,0,0,0,0,0,0,0,0,0
513,position,n,0,0,0,0,1,0,0,0,0,0,0,0,1
514,player,n,1,0,0,0,0,0,0,0,0,0,0,0,-1
515,agree,v,0,0,0,0,0,0,0,1,0,0,0,0,1
516,especially,r,0,0,0,0,0,0,0,0,0,0,0,0,0
517,record,n,0,0,0,0,0,0,0,0,0,0,0,0,1
518,pick,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
519,wear,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
520,paper,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
521,special,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
522,space,n,0,0,0,0,0,0,0,0,0,0,0,0,-1
523,ground,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
524,form,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
525,support,v,0,0,0,0,0,0,0,1,0,0,0,0,1
526,event,n,0,0,0,0,0,1,0,0,0,0,0,0,1
527,official,n,0,0,0,0,0,0,0,0,0,0,0,0,0
528,whose,d,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
529,matter,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
530,everyone,p,0,0,0,0,0,0,0,0,0,0,0,0,0
531,center,n,0,0,0,0,1,0,0,0,0,0,0,0,1
532,couple,n,1,0,0,0,0,0,0,0,0,0,0,0,1
533,site,n,0,0,0,0,1,0,0,0,0,0,0,0,1
534,end,v,0,0,0,0,0,0,0,1,0,0,0,0,0
535,project,n,0,0,0,0,0,0,0,0,0,0,0,0,1
536,hit,v,0,0,0,0,0,0,0,1,0,0,0,0,0
537,base,v,0,0,0,0,0,0,0,1,0,0,0,0,0
538,activity,n,0,0,0,0,0,0,1,0,0,0,0,0,1
539,star,n,1,1,0,0,0,0,0,0,0,0,0,0,-1
540,table,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
541,need,n,0,0,0,0,0,0,0,0,0,0,0,0,1
542,court,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
543,produce,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
544,eat,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
545,American,n,1,0,0,0,0,0,0,0,0,0,0,0,1
546,teach,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
547,oil,n,0,1,0,0,0,0,0,0,0,0,0,0,-1
548,half,d,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
549,situation,n,0,0,0,0,0,0,0,0,0,0,0,0,1
550,easy,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0
