,Rank,Word,POS,Person?,Object?,Plants?,Animals?,Location?,Time?,Process?,Action?,Quality?,"Superlative[0,0.3,0.6,1]","Negative/Neutral/Positive[-1,0,1]",Male/Female,Concrete/Abstract
433,434,raise,v,0,0,0,0,0,0,0,1,0,0,0,0,z
358,359,walk,v,0,0,0,0,0,0,0,1,0,0,0,0,z
414,415,cut,v,0,0,0,0,0,0,0,1,0,0,0,0,z
373,374,offer,v,0,0,0,0,0,0,0,1,0,0,0,0,z
410,411,fall,v,0,0,0,0,0,0,0,1,0,0,0,0,z
409,410,stay,v,0,0,0,0,0,0,0,1,0,0,0,0,z
408,409,build,v,0,0,0,0,0,0,0,1,0,0,0,0,z
379,380,remember,v,0,0,0,0,0,0,0,1,0,0,0,0,x
405,406,expect,v,0,0,0,0,0,0,0,1,0,0,0,0,x
404,405,send,v,0,0,0,0,0,0,0,1,0,0,0,0,z
403,404,die,v,0,0,0,0,0,0,0,1,0,0,0,0,z
401,402,serve,v,0,0,0,0,0,0,0,1,0,0,0,0,z
400,401,wait,v,0,0,0,0,0,0,0,1,0,0,0,0,x
390,391,love,v,0,0,0,0,0,0,0,1,0,0,0,0,x
394,395,consider,v,0,0,0,0,0,0,0,1,0,0,0,0,x
361,362,win,v,0,0,0,0,0,0,0,1,0,0,0,0,x
325,326,follow,v,0,0,0,0,0,0,0,1,0,0,0,0,z
323,324,watch,v,0,0,0,0,0,0,0,1,0,0,0,0,z
320,321,understand,v,0,0,0,0,0,0,0,1,0,0,0,0,x
206,207,move,v,0,0,0,0,0,0,0,1,0,0,0,0,z
480,481,explain,v,0,0,0,0,0,0,0,1,0,0,0,0,x
207,208,like,v,0,0,0,0,0,0,0,1,0,0,0,0,x
209,210,live,v,0,0,0,0,0,0,0,1,0,0,0,0,z
212,213,believe,v,0,0,0,0,0,0,0,1,0,0,0,0,x
213,214,hold,v,0,0,0,0,0,0,0,1,0,0,0,0,z
215,216,bring,v,0,0,0,0,0,0,0,1,0,0,0,0,z
395,396,appear,v,0,0,0,0,0,0,0,1,0,0,0,0,z
472,473,return,v,0,0,0,0,0,0,0,1,0,0,0,0,z
471,472,pull,v,0,0,0,0,0,0,0,1,0,0,0,0,z
223,224,must,v,0,0,0,0,0,0,0,1,0,0,0,0,0
228,229,write,v,0,0,0,0,0,0,0,1,0,0,0,0,z
262,263,provide,v,0,0,0,0,0,0,0,1,0,0,0,0,z
268,269,sit,v,0,0,0,0,0,0,0,1,0,0,0,0,z
281,282,stand,v,0,0,0,0,0,0,0,1,0,0,0,0,z
283,284,lose,v,0,0,0,0,0,0,0,1,0,0,0,0,0
456,457,decide,v,0,0,0,0,0,0,0,1,0,0,0,0,x
286,287,pay,v,0,0,0,0,0,0,0,1,0,0,0,0,z
288,289,meet,v,0,0,0,0,0,0,0,1,0,0,0,0,z
292,293,include,v,0,0,0,0,0,0,0,1,0,0,0,0,0
450,451,report,v,0,0,0,0,0,0,0,1,0,0,0,0,z
293,294,continue,v,0,0,0,0,0,0,0,1,0,0,0,0,z
294,295,set,v,0,0,0,0,0,0,0,1,0,0,0,0,z
446,447,require,v,0,0,0,0,0,0,0,1,0,0,0,0,z
443,444,sell,v,0,0,0,0,0,0,0,1,0,0,0,0,z
441,442,pass,v,0,0,0,0,0,0,0,1,0,0,0,0,z
304,305,learn,v,0,0,0,0,0,0,0,1,0,0,0,0,x
306,307,change,v,0,0,0,0,0,0,0,1,0,0,0,0,0
318,319,lead,v,0,0,0,0,0,0,0,1,0,0,0,0,0
484,485,develop,v,0,0,0,0,0,0,0,1,0,0,0,0,0
216,217,happen,v,0,0,0,0,0,0,0,0,0,0,0,0,0
